id_country,id_compound,toilet_fullclogged,privacy_wall,floor_holes,roof_solid,use_night,nightlight_rep,gender_separated,relationship,hh_cubicle_num,hh_cubicle,cleaning_arrangement,sharing,interface_rep,outflow_rep,D0,age_toilet,clean_comp,handwashing_obs,location,landlord_on_plot,bin_inside,tiling,visible_feces,insects_obs,solidwaste_obs,floor_obs,spotcheck,gender_respondent,gender_hh,hh_size,hhmember_rooms,B11_income_ppp,educ_hh,tenancy,electricity,water,lock,hh_cubicle_fct,cleanliness_rep,cleanliness_obs,cleanliness_cod
Kenya,70,Yes,Solid,No,Solid,Yes,No,No,Close neighbors/landlord,11,more than 10,No,Shared,Improved pit latrine,Single pit,Pit latrine with slab (no water),>9 years / don't know,Not clean,No facility with soap,Inside compound/on plot,landlord on plot,No bin inside cubicle,No tiling,Yes,Yes,No,Finished,Yes,Male,Male,8,8,612.1824303642485,None,Owner,Yes,Improved on premises,Outside and inside,more than 10,Very dirty,Very dirty,Very dirty
Kenya,71,No,Solid,No,Solid,Yes,No,No,Close neighbors/landlord,11,more than 10,Yes,Shared,Improved pit latrine,Single pit,Pit latrine with slab (no water),1-3 years,Clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Female,7,3.5,142.84256708499132,Secondary,Tenant (informal),Yes,Unimproved/not on premises,Outside and inside,more than 10,Clean,Clean,Neither clean nor dirty
Kenya,350,No,Solid,No,Not solid,Yes,No,No,Other tenants/unknown,3,3,No,Shared,Improved pit latrine,Single pit,Pit latrine with slab (no water),4-6 years,Clean,No facility with soap,Elsewhere,landlord on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Female,5,1.25,142.84256708499132,None,Owner,Yes,Improved on premises,Outside and inside,3,Neither clean nor dirty,Clean,Neither clean nor dirty
Kenya,72,No,Solid,No,Solid,Yes,No,No,Close neighbors/landlord,11,more than 10,No,Shared,Improved pit latrine,Single pit,Pit latrine with slab (no water),1-3 years,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,Yes,Finished,Yes,Female,Male,5,5,NA,Primary,Tenant (informal),Yes,Unimproved/not on premises,Outside and inside,more than 10,Clean,Dirty,Dirty
Kenya,351,No,Solid,No,Solid,Yes,No,No,Close neighbors/landlord,3,3,Yes,Shared,Improved pit latrine,Single pit,Pit latrine with slab (no water),1-3 years,Clean,No facility with soap,Inside compound/on plot,landlord on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Female,4,1.3333333333333333,NA,Secondary,Owner,Yes,Improved on premises,Outside and inside,3,Very clean,Clean,Neither clean nor dirty
Kenya,73,No,Not solid,No,Not solid,Yes,No,No,Close neighbors/landlord,11,more than 10,No,Shared,Improved pit latrine,Single pit,Pit latrine with slab (no water),<1 Year,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,Yes,No,Finished,Yes,Male,Male,3,3,142.84256708499132,Tertiary,Tenant (informal),No,Unimproved/not on premises,No lock,more than 10,Clean,Dirty,Dirty
Kenya,594,No,Solid,Yes,Not solid,Yes,No,No,Other tenants/unknown,8,8,Yes,Shared,Improved pit latrine,Single pit,Pit latrine with slab (no water),<1 Year,Not clean,No facility with soap,Inside compound/on plot,landlord on plot,No bin inside cubicle,No tiling,Yes,Yes,Yes,Finished,Yes,Female,Male,5,5,20.406081012141616,None,Tenant (informal),Yes,Unimproved/not on premises,Only inside,8,Neither clean nor dirty,Very dirty,Very dirty
Kenya,352,No,Solid,No,Solid,Yes,No,No,Close neighbors/landlord,3,3,Yes,Shared,Pour-flush,Piped sewer system,Pour flush to piped sewer system,>9 years / don't know,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,Yes,Yes,Finished,Yes,Female,Male,4,4,NA,Secondary,Tenant (informal),Yes,Improved on premises,Only inside,3,Neither clean nor dirty,Clean,Neither clean nor dirty
Kenya,596,No,Solid,Yes,Not solid,Yes,No,No,Other tenants/unknown,10,10,No,Shared,Improved pit latrine,Single pit,Pit latrine with slab (no water),>9 years / don't know,Not clean,No facility with soap,Inside compound/on plot,landlord on plot,No bin inside cubicle,No tiling,Yes,Yes,Yes,Finished,Yes,Female,Male,7,3.5,346.90337720640747,Tertiary,Owner,Yes,Unimproved/not on premises,Only outside,10,Dirty,Very dirty,Dirty
Kenya,240,No,Solid,No,Solid,Yes,No,No,Other tenants/unknown,4,4,No,Shared,Pour-flush,Single pit,Pour flush to pit latrine,<1 Year,Clean,No facility with soap,Inside compound/on plot,landlord on plot,No bin inside cubicle,Tiling,No,No,No,Finished,Yes,Female,Female,8,2,122.4364860728497,None,Owner,Yes,Improved on premises,Outside and inside,4,Clean,Very clean,Very clean
Kenya,353,No,Solid,No,Solid,Yes,No,No,Other tenants/unknown,7,7,No,Shared,Improved pit latrine,Single pit,Pit latrine with slab (no water),1-3 years,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,Yes,Yes,Finished,Yes,Male,Female,5,1.6666666666666667,408.12162024283236,Primary,Tenant (formal),Yes,Unimproved/not on premises,Outside and inside,7,Clean,Neither clean nor dirty,Neither clean nor dirty
Kenya,597,Yes,Not solid,No,Not solid,Yes,No,No,Other tenants/unknown,2,2,No,Shared,Improved pit latrine,Single pit,Pit latrine with slab (no water),<1 Year,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,Yes,Yes,Yes,Finished,Yes,Female,Male,4,4,40.81216202428323,Secondary,Tenant (informal),No,Unimproved/not on premises,No lock,2,Dirty,Very dirty,Dirty
Kenya,241,No,Solid,No,Not solid,Yes,No,No,Other tenants/unknown,9,9,No,Shared,Improved pit latrine,Single pit,Pit latrine with slab (no water),7-9 years,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,Yes,No,Finished,Yes,Male,Male,2,2,183.65472910927454,Primary,Tenant (informal),Yes,Unimproved/not on premises,Only outside,9,Clean,Clean,Very clean
Kenya,354,Yes,Solid,No,Solid,Yes,No,No,Other tenants/unknown,6,6,No,Shared,Improved pit latrine,Single pit,Pit latrine with slab (no water),<1 Year,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,Yes,Yes,No,Finished,Yes,Male,Male,4,4,367.3094582185491,Tertiary,Tenant (informal),Yes,Unimproved/not on premises,Outside and inside,6,Neither clean nor dirty,Dirty,Very dirty
Kenya,598,Yes,Not solid,No,Not solid,Yes,No,No,Other tenants/unknown,9,9,No,Shared,Improved pit latrine,Single pit,Pit latrine with slab (no water),1-3 years,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,Yes,Yes,Yes,Finished,Yes,Female,Male,7,3.5,122.4364860728497,Don't know,Tenant (informal),Yes,Unimproved/not on premises,Only inside,9,Dirty,Dirty,Dirty
Kenya,242,Yes,Solid,No,Solid,Yes,No,No,Other tenants/unknown,9,9,No,Shared,Improved pit latrine,Single pit,Pit latrine with slab (no water),1-3 years,Not clean,No facility with soap,Inside compound/on plot,landlord on plot,No bin inside cubicle,No tiling,Yes,Yes,No,Finished,Yes,Female,Male,6,6,NA,Primary,Tenant (informal),Yes,Improved on premises,Outside and inside,9,Clean,Neither clean nor dirty,Neither clean nor dirty
