Year,Service Type,Service Level,Coverage,Type,Region,Residence Type,Population
2000,Sanitation,At least basic,54.8831034311,m49_sub,Southern Asia,urban,231452986.09180325
2000,Sanitation,Basic service,4.224574863,m49_sub,Southern Asia,rural,43556961.06270569
2000,Sanitation,Limited service,2.3657436942,m49_sub,Southern Asia,rural,24391710.24642129
2000,Sanitation,Limited service,14.965860013,m49_sub,Southern Asia,urban,63114014.56714851
2000,Sanitation,Open defecation,77.0020979003,m49_sub,Southern Asia,rural,793920687.5856514
2000,Sanitation,Open defecation,19.9131891555,m49_sub,Southern Asia,urban,83977887.62870279
2000,Sanitation,Safely managed service,5.524743176,m49_sub,Southern Asia,rural,56962187.01343937
2000,Sanitation,Unimproved,10.8828403665,m49_sub,Southern Asia,rural,112206191.02928232
2000,Sanitation,Unimproved,10.2378474003,m49_sub,Southern Asia,urban,43175043.024423726
2017,Sanitation,At least basic,72.3775282958,m49_sub,Southern Asia,urban,477807911.1187399
2017,Sanitation,Basic service,14.5631375994,m49_sub,Southern Asia,rural,176042698.74552193
2017,Sanitation,Limited service,9.3226517651,m49_sub,Southern Asia,rural,112694449.59858955
2017,Sanitation,Limited service,19.4087058747,m49_sub,Southern Asia,urban,128128625.41544628
2017,Sanitation,Open defecation,29.8192278683,m49_sub,Southern Asia,rural,360461975.4921142
2017,Sanitation,Open defecation,3.3154939874,m49_sub,Southern Asia,urban,21887584.361433126
2017,Sanitation,Safely managed service,38.65636212,m49_sub,Southern Asia,rural,467287372.9881766
2017,Sanitation,Unimproved,7.638620647100001,m49_sub,Southern Asia,rural,92337477.70563893
2017,Sanitation,Unimproved,4.8982718422,m49_sub,Southern Asia,urban,32336459.83941589
