Year,Service Type,Service Level,Coverage,Type,Region,Residence Type,Population
2000,Sanitation,Basic service,8.1817821313,sdg,Sub-Saharan Africa,total,52773078.394313335
2000,Sanitation,Limited service,15.0988991919,sdg,Sub-Saharan Africa,total,97388976.86772884
2000,Sanitation,Open defecation,32.4855128,sdg,Sub-Saharan Africa,total,209533874.9140556
2000,Sanitation,Safely managed service,14.8490844051,sdg,Sub-Saharan Africa,total,95777653.67233104
2000,Sanitation,Unimproved,29.3847214717,sdg,Sub-Saharan Africa,total,189533549.65157118
2017,Sanitation,Basic service,12.2560421918,sdg,Sub-Saharan Africa,total,125338187.33043785
2017,Sanitation,Limited service,18.0782739952,sdg,Sub-Saharan Africa,total,184880082.5879481
2017,Sanitation,Open defecation,19.9707207914,sdg,Sub-Saharan Africa,total,204233463.34031695
2017,Sanitation,Safely managed service,18.4453174964,sdg,Sub-Saharan Africa,total,188633706.01644817
2017,Sanitation,Unimproved,31.2496455251,sdg,Sub-Saharan Africa,total,319579017.7236262
