Year,Service Type,Service Level,Coverage,Type,Region,Residence Type,Population
2000,Sanitation,Basic service,2.9397312609,sdg,Sub-Saharan Africa,rural,13004377.187275534
2000,Sanitation,Basic service,19.6252051293,sdg,Sub-Saharan Africa,urban,39768700.75642365
2000,Sanitation,Limited service,8.5502280024,sdg,Sub-Saharan Africa,rural,37823317.88599412
2000,Sanitation,Limited service,29.3946807132,sdg,Sub-Saharan Africa,urban,59565658.214119494
2000,Sanitation,Open defecation,42.9471300773,sdg,Sub-Saharan Africa,rural,189983583.21542966
2000,Sanitation,Open defecation,9.647749488,sdg,Sub-Saharan Africa,urban,19550290.548983254
2000,Sanitation,Safely managed service,13.7611074875,sdg,Sub-Saharan Africa,rural,60874486.951336
2000,Sanitation,Safely managed service,17.2241431294,sdg,Sub-Saharan Africa,urban,34903166.075765304
2000,Sanitation,Unimproved,31.8018031719,sdg,Sub-Saharan Africa,rural,140680425.17473882
2000,Sanitation,Unimproved,24.10822154,sdg,Sub-Saharan Africa,urban,48853127.48973157
2017,Sanitation,Basic service,4.0511323013,sdg,Sub-Saharan Africa,rural,24925138.160077304
2017,Sanitation,Basic service,24.6472294273,sdg,Sub-Saharan Africa,urban,100413049.93897186
2017,Sanitation,Limited service,8.8938586018,sdg,Sub-Saharan Africa,rural,54720665.221158065
2017,Sanitation,Limited service,31.9487261916,sdg,Sub-Saharan Africa,urban,130159418.04032208
2017,Sanitation,Open defecation,29.4241571867,sdg,Sub-Saharan Africa,rural,181036097.70704898
2017,Sanitation,Open defecation,5.6939883331,sdg,Sub-Saharan Africa,urban,23197363.278900847
2017,Sanitation,Safely managed service,17.517751965,sdg,Sub-Saharan Africa,rural,107780332.88161837
2017,Sanitation,Safely managed service,19.8461417402,sdg,Sub-Saharan Africa,urban,80853372.48686132
2017,Sanitation,Unimproved,40.1130999452,sdg,Sub-Saharan Africa,rural,246801260.4382873
2017,Sanitation,Unimproved,17.8639143078,sdg,Sub-Saharan Africa,urban,72777758.84650964
