Year,Service Type,Service Level,Coverage,Type,Region,Residence Type,Population
2000,Sanitation,Basic service,27.9317374617,world,World,total,1716407210.7910748
2000,Sanitation,Limited service,5.4519876109,world,World,total,335025018.0936228
2000,Sanitation,Open defecation,21.4828899769,world,World,total,1320125084.0748186
2000,Sanitation,Safely managed service,28.2048538602,world,World,total,1733190232.4850702
2000,Sanitation,Unimproved,16.9285310904,world,World,total,1040259413.5615585
2017,Sanitation,Basic service,28.5130235626,world,World,total,2152807993.1630745
2017,Sanitation,Limited service,8.2995663537,world,World,total,626639007.497927
2017,Sanitation,Open defecation,8.9159398175,world,World,total,673176819.1308807
2017,Sanitation,Safely managed service,44.9870219334,world,World,total,3396638037.8494945
2017,Sanitation,Unimproved,9.2844483329,world,World,total,701000177.665974
